"coralSpecies","meandens","rank","normdens","cumsumdens","commonness","Reproductive_mode","coralSpeciesName"
"efl",1.3506699751861,1,0.0992148890382178,0.0992148890382178,"common","broadcaster","Eunicea flexuosa"
"gvm",1.30965260545906,2,0.0962019148395814,0.195416803877799,"common","broadcaster","Gorgonia ventalina"
"phk",1.22559139784946,3,0.090027110084441,0.28544391396224,"common","brooder","Plexaura kukenthali"
"pfpw",1.21781637717122,4,0.0894559877318058,0.374899901694046,"common","broadcaster","Pseudoplexaura wagenaari/flagellosa"
"aa",1.19717121588089,5,0.0879394756124679,0.462839377306514,"common","broadcaster","Antillogorgia americana"
"plxsp",0.916666666666667,6,0.0673347177987243,0.530174095105238,"common","broadcaster","Plexaura sp"
"ems",0.832291149710505,7,0.0611368251186901,0.591310920223928,"common","broadcaster","Eunicea mammosa group"
"pd",0.717030603804797,8,0.0526702400293581,0.643981160253286,"common","broadcaster","Plexaurella dichotoma"
"pc",0.545467328370554,9,0.0400678784991877,0.684049038752474,"common","broadcaster","Pseudoplexaura crucis"
"eto",0.519842845326716,10,0.0381856050433749,0.722234643795849,"common","brooder","Eunicea tourneforti"
"pp",0.475889164598842,11,0.0349569410200731,0.757191584815922,"common","broadcaster","Pseudoplexaura porosa"
"mf",0.395564516129032,12,0.0290566091615316,0.786248193977454,"common","broadcaster","Muriceopsis flavida"
"mma",0.273438792390405,13,0.0200857351863621,0.806333929163816,"common","brooder","Muricea muricata/atlantica"
"ph",0.269131513647643,14,0.0197693394787719,0.826103268642588,"common","broadcaster","Plexaura homomalla"
"ec",0.239429280397022,15,0.0175875305763111,0.843690799218899,"common","broadcaster","Eunicea calyculata"
"pci",0.205179900744417,16,0.0150717062341043,0.858762505453003,"common","brooder","Pterogorgia citrina"
"efu",0.193569065343259,17,0.0142188200612195,0.872981325514222,"common","broadcaster","Eunicea fusca"
"pk",0.158577336641853,18,0.0116484656858754,0.884629791200098,"common","broadcaster","Plexaura kuna"
"esp",0.149263854425145,19,0.0109643340166549,0.895594125216753,"common","broadcaster","Eunicea sp"
"etoa",0.122903225806452,20,0.00902798621043307,0.904622111427186,"Rare","brooder","Eunicea tourneforti f. atra"
"ecl",0.116997518610422,21,0.00859417625321864,0.913216287680404,"Rare","brooder","Eunicea clavigera"
"ac",0.114516129032258,22,0.00841190316195207,0.921628190842356,"Rare","broadcaster","Antillogorgia acerosa"
"eta",0.112541356492969,23,0.00826684416015243,0.929895035002509,"Rare","broadcaster","Eunicea tayrona"
"me",0.1,24,0.00734560557804265,0.937240640580552,"Rare","brooder","Muricea elongata"
"bau",0.0961952026468156,25,0.00706612017143392,0.944306760751985,"Rare","brooder","Briareum asbestinum (upright)"
"ar",0.0911497105045492,26,0.0066954982191919,0.951002258971177,"Rare","broadcaster","Antillogorgia rigida"
"elc",0.0876550868486352,27,0.00643879694899148,0.957441055920169,"Rare","brooder","Eunicea lacinata"
"ml",0.0833333333333333,28,0.00612133798170221,0.963562393901871,"Rare","brooder","Muricea laxa"
"pgu",0.0757444168734491,29,0.00556388611091196,0.969126280012783,"Rare","brooder","Pterogorgia guadalupensis"
"pnu",0.0749545078577337,30,0.0055058625101921,0.974632142522975,"Rare","broadcaster","Plexaurella nutans"
"ea",0.0567204301075269,31,0.00416645907786828,0.978798601600844,"Rare","broadcaster","Eunicea asperula"
"bae",0.0551282051282051,32,0.00404950051097223,0.982848102111816,"Rare","brooder","Briareum asbestinum (encrusting)"
"pllsp",0.047008547008547,33,0.00345306245121663,0.986301164563032,"Rare","broadcaster","Plexaurella sp"
"pg",0.0410945685139234,34,0.00301864491703131,0.989319809480064,"Rare","broadcaster","Plexaurella grisea"
"pssp",0.0371794871794872,35,0.00273105848414406,0.992050867964208,"Rare","broadcaster","Pseudoplexaura sp"
"epa",0.0353598014888337,36,0.00259739155054858,0.994648259514756,"Rare","brooder","Eunicea palmeri"
"epi",0.032258064516129,37,0.00236955018646537,0.997017809701222,"Rare","broadcaster","Eunicea pinta"
"msp",0.0239316239316239,38,0.00175792270243756,0.998775732403659,"Rare","brooder","Muricea sp"
"ptsp",0.0166666666666667,39,0.00122426759634044,1,"Rare","brooder","Pterogorgia sp"
